timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
2025/05/14 13:40:46.665, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.665, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:46.665, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:46.666, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:46.766, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.766, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:46.766, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:46.767, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:46.867, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.867, 0, 1, 40960, 54.09, 28, 210
2025/05/14 13:40:46.867, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:46.867, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:46.967, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.968, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:46.968, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:46.968, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.069, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:47.069, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:47.069, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:47.069, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.170, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:47.170, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:47.170, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:47.170, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.271, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:47.271, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:47.271, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:47.272, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.372, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:47.372, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:47.372, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:47.372, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.473, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:47.473, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:47.473, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:47.473, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.574, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:47.574, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:47.574, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:47.574, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.675, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:47.675, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:47.675, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:47.676, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.776, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:47.776, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:47.776, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:47.777, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.877, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:47.877, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:47.877, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:47.878, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:47.978, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:47.978, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:47.978, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:47.978, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:48.079, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:48.079, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:48.079, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:48.079, 0, 1, 40960, 55.53, 29, 210
